unit,inet_spd,terrtypo,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 
PC_HH,GBPS_GT1,TOTAL,AT	45.4 	36.9 	13.8 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,BE	69 	49.4 	49.2 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,BG	15.9 	8.6 	6.5 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,CH	63.7 	62.9 	40.3 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,CY	41.4 	26.2 	10.1 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,CZ	38.1 	7.6 	2.4 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,DE	62.1 	55.9 	34.1 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,DK	90.7 	86.5 	80.3 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,EE	36.7 	35.4 	28.7 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,EL	19 	10.2 	7 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,ES	92.5 	91.7 	89 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,EU27_2020	62.4 	51 	39.9 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,FI	51 	47 	40 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,FR	63.8 	52.2 	43.8 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,HR	52.3 	21.8 	5.9 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,HU	44.8 	35.9 	33.1 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,IE	67.4 	58.1 	15.9 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,IS	85.6 	78.5 	77 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,IT	44.2 	33.7 	30 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,LT	78 	66.9 	60.9 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,LU	95.9 	95.1 	92 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,LV	40.3 	39.6 	0 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,MT	100 	100 	100 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,NL	88.8 	16 	10.2 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,NO	86.5 	52.9 	50.2 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,PL	55.2 	46.6 	24.4 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,PT	86 	83.4 	70.5 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,RO	85.2 	72.8 	65.9 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,SE	82.5 	80.5 	77.1 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,SI	0.9 	0.8 	0.5 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,SK	28 	21.4 	19.2 	: 	: 	: 	: 	: 	: 
PC_HH,GBPS_GT1,TOTAL,UK	38.7 	21 	0 	: 	: 	: 	: 	: 	: 
PC_HH,MBPS_GT100,TOTAL,AT	82.8 	72.2 	65.2 	57.5 	56.2 	49.5 	42.3 	40.8 	43.2 
PC_HH,MBPS_GT100,TOTAL,BE	97.2 	96.5 	96.5 	95.5 	94.2 	93.9 	93.1 	92.6 	91.9 
PC_HH,MBPS_GT100,TOTAL,BG	91.9 	80.9 	68 	49 	30.7 	18.6 	15.7 	15.1 	2 
PC_HH,MBPS_GT100,TOTAL,CH	98.6 	98.6 	98.6 	98.5 	98.5 	98.5 	98.4 	98.3 	97.4 
PC_HH,MBPS_GT100,TOTAL,CY	82.9 	78.9 	71 	62.9 	45 	44.8 	44.6 	44.1 	43.7 
PC_HH,MBPS_GT100,TOTAL,CZ	89.2 	86.4 	75 	58.2 	55.9 	44.5 	43.3 	39.4 	38.6 
PC_HH,MBPS_GT100,TOTAL,DE	89.6 	85.7 	81.8 	66.3 	65.4 	64.9 	63.5 	62.1 	56.4 
PC_HH,MBPS_GT100,TOTAL,DK	96.3 	95.3 	94.3 	92.6 	91.2 	88.9 	87 	85 	46.8 
PC_HH,MBPS_GT100,TOTAL,EE	83.5 	81.9 	74.3 	68.5 	61.1 	58.7 	58.3 	54.1 	51.5 
PC_HH,MBPS_GT100,TOTAL,EL	54.6 	48.9 	41.6 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 
PC_HH,MBPS_GT100,TOTAL,ES	93.8 	91.7 	89 	87.2 	83.6 	79.1 	74.2 	70.5 	60.6 
PC_HH,MBPS_GT100,TOTAL,EU27_2020	82.1 	76.2 	70.9 	58.4 	54.4 	50.5 	47.3 	45.3 	40 
PC_HH,MBPS_GT100,TOTAL,FI	65 	64 	62 	51.8 	43.4 	32.5 	33.7 	33.7 	29.4 
PC_HH,MBPS_GT100,TOTAL,FR	65.3 	55.8 	50.3 	47.4 	39.2 	33.9 	28.4 	26.9 	26.6 
PC_HH,MBPS_GT100,TOTAL,HR	62.1 	46.2 	43.6 	37.7 	28.5 	25.3 	22 	21.8 	19.1 
PC_HH,MBPS_GT100,TOTAL,HU	88.7 	85.5 	79 	78 	72.4 	68.4 	67.7 	65.4 	68.9 
PC_HH,MBPS_GT100,TOTAL,IE	87.7 	72.8 	69.1 	55.4 	52.3 	44.9 	43.3 	40.6 	41.2 
PC_HH,MBPS_GT100,TOTAL,IS	88.3 	83.9 	83.3 	74.3 	70.4 	69.6 	49.4 	49 	49.7 
PC_HH,MBPS_GT100,TOTAL,IT	77.6 	67 	61 	23.9 	21.7 	18.8 	16.4 	14.8 	12.2 
PC_HH,MBPS_GT100,TOTAL,LT	78.1 	67.3 	61.2 	60.6 	54.4 	50.1 	49.6 	49.2 	48.7 
PC_HH,MBPS_GT100,TOTAL,LU	99.4 	99.3 	94.6 	94 	86.6 	89.7 	87.6 	82.5 	79.6 
