unit,inet_tec,terrtypo,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 
PC_HH,5G,DEG3,AT	36.3 	7.5 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,BE	0 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,BG	8.6 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,CH	88.8 	40 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,CY	32.2 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,CZ	43.3 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,DE	49.4 	0.8 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,DK	98 	75 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,EE	1.5 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,EL	17.3 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,ES	24.8 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,EU27_2020	34.7 	1.5 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,FI	18.9 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,FR	48.2 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,HR	9.3 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,HU	7 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,IE	36.2 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,IS	6.7 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,IT	99.8 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,LT	0.8 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,LU	6.7 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,LV	0 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,MT	0 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,NL	96.8 	29.1 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,NO	4.5 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,PL	13.5 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,PT	0 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,RO	2 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,SE	0.5 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,SI	2.8 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,SK	2.4 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,DEG3,UK	4.4 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,AT	76.8 	50 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,BE	4.2 	4.4 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,BG	40.1 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,CH	94.6 	89.2 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,CY	75 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,CZ	49.4 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,DE	86.5 	17.8 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,DK	98 	80 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,EE	18.3 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,EL	66.1 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,ES	58.9 	12.5 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,EU27_2020	65.8 	13.9 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,FI	71.6 	12.4 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,FR	74.4 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,HR	33.8 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,HU	17.6 	7.3 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,IE	72.1 	30.5 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,IS	41 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,IT	99.7 	8.1 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,LT	33.3 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,LU	12.7 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,LV	0 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,MT	20 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,NL	97 	80 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,NO	23.8 	2.4 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,PL	34.2 	10.3 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,PT	0 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,RO	24.9 	11.7 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,SE	17.7 	13.6 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,SI	36.6 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,SK	13.8 	0 	: 	: 	: 	: 	: 	: 	: 
PC_HH,5G,TOTAL,UK	37.9 	20.4 	: 	: 	: 	: 	: 	: 	: 
PC_HH,BB,DEG3,AT	: 	: 	: 	99.6 	98 	97.6 	94.8 	94.8 	94.7 
PC_HH,BB,DEG3,BE	: 	: 	: 	99.9 	99.9 	99.8 	99.4 	99.5 	99.6 
PC_HH,BB,DEG3,BG	: 	: 	: 	100 	100 	100 	99.9 	99.3 	99.3 
PC_HH,BB,DEG3,CH	: 	: 	: 	99.9 	99.9 	99.8 	99.6 	99.6 	99.2 
PC_HH,BB,DEG3,CY	: 	: 	: 	100 	100 	100 	100 	100 	100 
PC_HH,BB,DEG3,CZ	: 	: 	: 	99.3 	98.8 	98 	94.4 	94.4 	92.3 
PC_HH,BB,DEG3,DE	: 	: 	: 	99.1 	98.8 	98.8 	98.8 	97.7 	99 
PC_HH,BB,DEG3,DK	: 	: 	: 	100 	100 	99.8 	98.6 	99.5 	99.5 
PC_HH,BB,DEG3,EE	: 	: 	: 	99.6 	99.7 	99.4 	99.4 	99.1 	99.3 
PC_HH,BB,DEG3,EL	: 	: 	: 	99.2 	98.8 	98.1 	99.4 	99.3 	99.7 
PC_HH,BB,DEG3,ES	: 	: 	: 	99.8 	99.8 	99.4 	99.2 	99.2 	97.8 
PC_HH,BB,DEG3,EU27_2020	: 	: 	: 	99.7 	99.4 	99.1 	98.5 	98.1 	97 
PC_HH,BB,DEG3,FI	: 	: 	: 	99.9 	100 	100 	100 	98.6 	98.6 
PC_HH,BB,DEG3,FR	: 	: 	: 	100 	100 	99.9 	99.8 	99.8 	99.6 
PC_HH,BB,DEG3,HR	: 	: 	: 	99.5 	99 	98.3 	95.9 	95.4 	92 
PC_HH,BB,DEG3,HU	: 	: 	: 	99.4 	99.4 	98.7 	97.3 	97.1 	95.1 
PC_HH,BB,DEG3,IE	: 	: 	: 	99.4 	99.8 	99 	95 	95 	95.2 
PC_HH,BB,DEG3,IS	: 	: 	: 	100 	99.7 	99.6 	98 	97.8 	96.6 
PC_HH,BB,DEG3,IT	: 	: 	: 	99.7 	98.4 	98.2 	96.7 	95.7 	95.2 
PC_HH,BB,DEG3,LT	: 	: 	: 	99.4 	99.2 	98.9 	98.4 	98.1 	94.1 
PC_HH,BB,DEG3,LU	: 	: 	: 	100 	99.9 	99.9 	100 	100 	100 
PC_HH,BB,DEG3,LV	: 	: 	: 	100 	100 	100 	98.7 	98.7 	98.3 
PC_HH,BB,DEG3,MT	: 	: 	: 	100 	100 	100 	100 	100 	100 
PC_HH,BB,DEG3,NL	: 	: 	: 	99.7 	99.7 	99.1 	99.1 	98.8 	95.3 
PC_HH,BB,DEG3,NO	: 	: 	: 	99.8 	99.9 	100 	97.8 	97.5 	92 
PC_HH,BB,DEG3,PL	: 	: 	: 	100 	100 	100 	99.5 	99.3 	94.7 
PC_HH,BB,DEG3,PT	: 	: 	: 	99.7 	98.8 	97.8 	98.9 	99 	98.9 
PC_HH,BB,DEG3,RO	: 	: 	: 	100 	100 	100 	99.7 	99.6 	99.7 
PC_HH,BB,DEG3,SE	: 	: 	: 	100 	100 	100 	98.2 	98.2 	98.7 
PC_HH,BB,DEG3,SI	: 	: 	: 	100 	99.5 	99.3 	99.1 	98.5 	97.1 
PC_HH,BB,DEG3,SK	: 	: 	: 	96.4 	94.1 	91.6 	91.6 	89.1 	84.5 
PC_HH,BB,DEG3,UK	: 	: 	: 	100 	100 	99.9 	99.9 	99.9 	99.9 
PC_HH,BB,TOTAL,AT	: 	: 	: 	99.8 	99.7 	99.7 	99.3 	99.3 	99.2 
PC_HH,BB,TOTAL,BE	: 	: 	: 	100 	100 	100 	99.9 	99.9 	99.9 
PC_HH,BB,TOTAL,BG	: 	: 	: 	100 	100 	100 	100 	99.9 	99.8 
PC_HH,BB,TOTAL,CH	: 	: 	: 	100 	100 	100 	99.9 	99.9 	99.9 
PC_HH,BB,TOTAL,CY	: 	: 	: 	100 	100 	100 	100 	100 	100 
PC_HH,BB,TOTAL,CZ	: 	: 	: 	99.6 	99.5 	99.3 	99.2 	99.2 	98.9 
PC_HH,BB,TOTAL,DE	: 	: 	: 	99.9 	99.9 	99.9 	99.9 	97.9 	99.9 
PC_HH,BB,TOTAL,DK	: 	: 	: 	100 	100 	100 	99.5 	99.5 	99.7 
PC_HH,BB,TOTAL,EE	: 	: 	: 	99.8 	99.6 	99.5 	99.5 	99.7 	99.8 
PC_HH,BB,TOTAL,EL	: 	: 	: 	99.8 	99.7 	99.6 	99.9 	99.9 	99.9 
PC_HH,BB,TOTAL,ES	: 	: 	: 	100 	99.9 	99.9 	99.8 	99.8 	99.6 
PC_HH,BB,TOTAL,EU27_2020	: 	: 	: 	99.9 	99.9 	99.8 	99.7 	99.2 	99.4 
PC_HH,BB,TOTAL,FI	: 	: 	: 	100 	99.9 	100 	100 	99.8 	99.8 
PC_HH,BB,TOTAL,FR	: 	: 	: 	100 	100 	100 	100 	100 	99.9 
PC_HH,BB,TOTAL,HR	: 	: 	: 	99.9 	99.7 	99.6 	99.1 	99 	97.6 
PC_HH,BB,TOTAL,HU	: 	: 	: 	99.8 	99.8 	99.6 	99.1 	99.1 	98.5 
PC_HH,BB,TOTAL,IE	: 	: 	: 	99.3 	99.7 	99.6 	97.6 	97.6 	97.6 
PC_HH,BB,TOTAL,IS	: 	: 	: 	100 	98.2 	98.1 	97.7 	97.1 	97.1 
PC_HH,BB,TOTAL,IT	: 	: 	: 	100 	99.8 	99.8 	99.6 	99.4 	98.8 
PC_HH,BB,TOTAL,LT	: 	: 	: 	99.7 	99.6 	99.5 	99.5 	99.4 	98.6 
PC_HH,BB,TOTAL,LU	: 	: 	: 	100 	100 	100 	100 	100 	100 
PC_HH,BB,TOTAL,LV	: 	: 	: 	100 	100 	100 	99.6 	99.6 	99.5 
PC_HH,BB,TOTAL,MT	: 	: 	: 	100 	100 	100 	100 	100 	100 
